類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2
硬體發布,GPU架構,Kepler GK110 GPU (Tesla K20X) 發布,2012-11-12,2012-11-12,為深度學習提供早期高性能計算能力，首次在數據中心實現大規模通用GPU計算。,https://www.anandtech.com/show/6462/nvidia-launches-tesla-k20k20x-based-on-gk110-architecture,
硬體發布,旗艦產品,Tesla K80雙GPU加速器發布,2014-11-17,2014-11-17,首次將兩顆GK210 GPU整合到單卡，大幅提升深度學習和HPC性能，鞏固NVIDIA在數據中心的地位。,https://www.anandtech.com/show/8708/nvidia-unveils-tesla-k80-with-two-gk210-gpus,
硬體發布,GPU架構,Pascal架構發布 (GP100),2016-04-05,2016-04-05,"""引入H"
硬體發布,GPU架構,Pascal 架構發布,2016-04-05,2016-04-05,推出GP100晶片，針對深度學習進行優化，開啟NVIDIA在AI領域的領先地位。,https://www.anandtech.com/show/10272/nvidia-announces-tesla-p100-gpu-pascal-gp100,
硬體發布,旗艦產品,Tesla P100 出貨,2016-06-20,2016-06-20,首款基於Pascal架構的數據中心GPU，提供高達21.2 TFLOPS的FP16性能，大幅提升AI訓練效率。,https://www.nvidia.com/en-us/data-center/tesla-p100/,
硬體發布,網路與系統,DGX-1 AI 超級電腦發布,2016-04-05,2016-04-05,整合8個Tesla P100 GPU，是NVIDIA首款專為深度學習設計的系統，加速AI研究。,https://www.nvidia.com/en-us/data-center/dgx-systems/dgx-1/,
軟體與生態,AI框架整合,cuDNN 5.0 發布,2016-04-01,2016-04-01,支援Pascal架構和新的卷積演算法，進一步優化深度學習框架性能。,https://developer.nvidia.com/cudnn,
硬體發布,GPU架構,Volta 架構發布,2017-05-10,2017-05-10,引入Tensor Cores，專為AI計算設計，標誌著AI加速器進入新時代。,https://www.nvidia.com/en-us/data-center/volta-gpu-architecture/,
硬體發布,旗艦產品,Tesla V100 出貨,2017-06-20,2017-06-20,首款搭載Tensor Cores的GPU，提供高達125 TFLOPS的Tensor運算性能，對AI訓練產生巨大影響。,https://www.nvidia.com/en-us/data-center/tesla-v100/,
軟體與生態,平台發布,CUDA 9.0 發布,2017-09-01,2017-09-01,增加對Volta架構和Tensor Cores的支援，優化AI程式設計體驗。,https://developer.nvidia.com/cuda-toolkit-archive,
財務與市場,財報里程碑,數據中心業務收入快速成長,2017-11-16,2017-11-16,受AI需求驅動，NVIDIA數據中心業務連續幾個季度實現三位數增長，預示未來主導地位。,https://ir.nvidia.com/events/event-details/q3-fy18-nvidia-earnings-conference-call,
硬體發布,GPU架構,Turing 架構發布,2018-08-20,2018-08-20,引入RT Cores和Tensor Cores於消費級GPU，推動即時光線追蹤和DLSS技術。,https://www.nvidia.com/en-us/geforce/turing/,
硬體發布,消費級GPU,GeForce RTX 20 系列發布,2018-08-20,2018-08-20,首批支援光線追蹤和DLSS的消費級GPU，將AI應用擴展到遊戲領域。,https://www.nvidia.com/en-us/geforce/graphics-cards/rtx-20-series/,
軟體與生態,平台發布,RAPIDS 開源軟體庫發布,2018-10-09,2018-10-09,利用GPU加速數據科學工作流程，提升數據處理和機器學習效率。,https://developer.nvidia.com/rapids,
政策與競爭,競爭威脅,Google TPU v3 宣布,2018-05-08,2018-05-08,Google持續推出自有AI晶片，顯示超大規模雲服務商自研晶片的競爭壓力。,https://cloud.google.com/blog/products/ai-machine-learning/google-cloud-tpus-now-available-for-everyone,
戰略合作,超大規模雲端,與AWS合作推出雲端深度學習服務,2018-11-28,2018-11-28,AWS提供基於NVIDIA GPU的EC2實例，深化AI雲端服務合作。,https://aws.amazon.com/blogs/aws/new-amazon-ec2-p3dn-instances-with-nvidia-v100-gpus/,
政策與競爭,競爭威脅,Intel 收購 Habana Labs,2019-12-16,2019-12-16,Intel加強AI晶片佈局，意圖挑戰NVIDIA在數據中心的領導地位。,https://www.intel.com/content/www/us/en/newsroom/news/intel-acquires-habana-labs.html,
硬體發布,網路與系統,NVIDIA 收購 Mellanox 獲批,2020-04-27,2020-04-27,完成對Mellanox的收購，鞏固其在數據中心高速互連領域的地位，提供端到端解決方案。,https://www.nvidia.com/en-us/news/2020/04/nvidia-completes-mellanox-acquisition/,
硬體發布,GPU架構,Ampere 架構發布,2020-05-14,2020-05-14,引入第三代Tensor Cores，專為AI和HPC設計，顯著提升性能和效率。,https://www.nvidia.com/en-us/data-center/ampere-gpu-architecture/,
